experiment_id,model,test_id,topic,question,candidate_answer,human_label,expected_bucket,llm_score,predicted_bucket,match,feedback,strengths,missed_concepts,latency_ms,timestamp,error
gemini_flash_en_run1,gemini-2.5-flash,1,Core Java,What is the difference between the == operator and the equals() method?,"The == operator compares references — it checks whether two objects point to the same memory location. The equals() method compares the values of objects. For primitive types like int or char, == compares values because primitives have no references.",correct,correct,0.65,correct,True,"The explanation for the `==` operator is accurate for both objects and primitive types. However, the explanation for the `equals()` method is incomplete. While it's true that overridden `equals()` methods compare values, it's crucial to mention that the default implementation of `equals()` (inherited from `java.lang.Object`) behaves identically to the `==` operator, comparing object references. Classes must explicitly override `equals()` to provide a custom logical comparison based on object content.",Correctly identified that the == operator compares references for objects.; Correctly identified that the == operator compares values for primitive types.,"The default implementation of the equals() method (from java.lang.Object) compares object references, similar to the == operator.; The equals() method is intended to be overridden by classes to provide a custom definition of logical equality based on the object's content or state.",6381,2026-05-12T09:50:28.131143,
gemini_flash_en_run1,gemini-2.5-flash,2,Core Java,What is Optional and what problem does it solve?,"Optional is a container that may or may not hold a value. It was introduced in Java 8 to reduce NullPointerExceptions — instead of returning null from a method, we return an Optional and force the caller to explicitly handle the absence of a value using isPresent(), orElse(), or map().",correct,correct,1.0,correct,True,"Excellent, comprehensive answer that perfectly describes Optional and its purpose, including its introduction, the problem it solves, and how it facilitates explicit handling of absent values.","Correctly defines Optional as a container that may or may not hold a value.; Accurately states its introduction in Java 8.; Clearly identifies the problem it solves: reducing NullPointerExceptions.; Explains the mechanism by which it solves the problem (returning Optional instead of null, forcing explicit handling).; Provides concrete examples of methods used for handling the absence of a value (isPresent(), orElse(), map()).",,3760,2026-05-12T09:50:32.193007,
gemini_flash_en_run1,gemini-2.5-flash,3,Core Java,What does the synchronized keyword mean?,synchronized locks access to a method or code block so that only one thread can execute it at a time. This prevents race conditions — situations where two threads simultaneously modify the same variable and the result depends on the order of execution.,correct,correct,0.75,correct,True,"The candidate provides a good, concise explanation of `synchronized`'s primary function and the problem it solves. To improve, the answer should delve into the underlying mechanism (intrinsic locks), specify which object's lock is acquired based on context (instance method, static method, or code block), and mention the memory visibility guarantees it provides.",Correctly identifies the primary purpose of `synchronized` as ensuring mutual exclusion (only one thread executes at a time).; Accurately states that it prevents race conditions.; Provides a clear and correct definition of what a race condition is.,"The underlying mechanism of `synchronized` (intrinsic lock or monitor lock).; Which object's lock is acquired (e.g., `this` for instance methods, the Class object for static methods, or a specified object for synchronized blocks).; Memory visibility guarantees (happens-before relationship) provided by `synchronized`.",5528,2026-05-12T09:50:38.022525,
gemini_flash_en_run1,gemini-2.5-flash,4,Core Java,What is the Garbage Collector and how does it work?,The GC is a JVM mechanism that automatically frees heap memory occupied by objects that no longer have any live references. It runs in the background and is triggered by the JVM — the programmer does not need to manually deallocate memory as in C++.,correct,correct,0.4,partial,False,"The answer provides a good high-level definition of the Garbage Collector's purpose and its automatic nature, correctly contrasting it with manual memory management. However, it significantly lacks technical detail on *how* the Garbage Collector actually works. It does not explain the underlying mechanisms for identifying unreachable objects, nor does it mention common GC algorithms, generational collection, or the different phases involved in memory reclamation.","Correctly defines the Garbage Collector as a JVM mechanism for automatic memory management.; Accurately states that it frees heap memory occupied by objects without live references.; Correctly highlights its background operation and automatic triggering by the JVM, contrasting it with manual memory deallocation.","Mechanism for identifying unreachable objects (e.g., root references, reachability graph traversal).; Specific Garbage Collector algorithms (e.g., Mark-and-Sweep, Copying, Mark-and-Compact).; Generational hypothesis (Young, Old, Metaspace/Permanent generations).; Phases of garbage collection (e.g., Mark, Sweep, Compact).; Stop-the-World events.; Triggers for garbage collection (e.g., memory allocation failure, thresholds).",10448,2026-05-12T09:50:48.772188,
gemini_flash_en_run1,gemini-2.5-flash,5,Core Java,What is a functional interface?,A functional interface has exactly one abstract method. This allows it to be used as a target type for a lambda. We can annotate it with @FunctionalInterface so the compiler enforces this requirement. It may have any number of default and static methods.,correct,correct,1.0,correct,True,"The candidate provided a complete and accurate definition of a functional interface, covering its core characteristics, purpose, and related annotations. The answer is comprehensive and well-articulated.",Correctly defines a functional interface as having exactly one abstract method.; Accurately explains its purpose as a target type for lambda expressions.; Correctly identifies the role of the @FunctionalInterface annotation for compiler enforcement.; Correctly states that functional interfaces can have any number of default and static methods.,,3796,2026-05-12T09:50:52.869225,
gemini_flash_en_run1,gemini-2.5-flash,6,Core Java,What are the access modifiers in Java and how do they differ?,Java has four access modifiers: public — visible everywhere; protected — visible within the same package and in subclasses; package-private (no keyword) — visible only within the package; private — visible only within the same class.,correct,correct,1.0,correct,True,Excellent and concise explanation of all Java access modifiers and their respective scopes. The answer is complete and accurate for the question asked.,"Correctly identifies all four access modifiers in Java.; Accurately describes the visibility scope for each modifier (public, protected, package-private, private).; Correctly notes that package-private has no explicit keyword.",,2872,2026-05-12T09:50:56.042105,
gemini_flash_en_run1,gemini-2.5-flash,7,OOP,What is the Open/Closed Principle?,"OCP states that classes should be open for extension but closed for modification. This means new behaviour is added by implementing an interface or through inheritance, not by changing existing code. A classic example is the Strategy pattern — instead of adding if-else branches to a class, we create a new implementation of an interface.",correct,correct,0.95,correct,True,"Excellent definition of the Open/Closed Principle, clearly stating its core tenet. The explanation of how it's achieved through interfaces and inheritance is accurate, and the Strategy pattern is a perfect, well-explained example that demonstrates the principle effectively by showing how to add new behavior without altering existing code.",Accurately defines the Open/Closed Principle (OCP).; Identifies key mechanisms for achieving OCP (inheritance and interfaces).; Provides a relevant and well-explained design pattern example (Strategy pattern) to illustrate the principle.; Clearly explains the benefit of OCP (avoiding modification of existing code).,"Could implicitly mention polymorphism as the underlying mechanism that enables extension without modification, though the mention of interfaces and inheritance covers it.",5954,2026-05-12T09:51:02.297271,
gemini_flash_en_run1,gemini-2.5-flash,8,OOP,What is abstraction in object-oriented programming?,"Abstraction is about hiding implementation details and exposing only the interface. In Java it is achieved through abstract classes and interfaces. We focus on 'what' an object does rather than 'how' it does it — for example, Collections.sort() — I don't know how it sorts internally, but I know how to use it.",correct,correct,0.9,correct,True,"The candidate provides a strong answer, clearly defining abstraction and illustrating its implementation in Java with a good example. The explanation of 'what' vs 'how' is accurate. To make the answer even more comprehensive, explicitly mentioning the benefits of abstraction, such as improved maintainability and reusability, would be a valuable addition.",Provides a clear and concise definition of abstraction.; Correctly identifies abstract classes and interfaces as mechanisms for achieving abstraction in Java.; Explains the core concept of focusing on 'what' an object does rather than 'how' it does it.; Includes a relevant and practical example (Collections.sort()).,"Explicitly stating the benefits of abstraction (e.g., improved maintainability, reusability, reduced complexity for client code, easier system evolution).",6052,2026-05-12T09:51:08.650725,
gemini_flash_en_run1,gemini-2.5-flash,9,Core Java,"What is the difference between String, StringBuilder, and StringBuffer?","String is immutable — every change creates a new object. StringBuilder and StringBuffer are mutable, so they are faster when making multiple modifications. Both are used in a similar way.",partial,partial,0.45,partial,True,"The candidate correctly identified the immutability of String and the mutability of StringBuilder/StringBuffer, and noted the performance advantage for modifications. However, a crucial distinction regarding thread-safety between StringBuilder and StringBuffer was entirely missed. The explanation of performance could also be more detailed by mentioning in-place modification versus new object creation.",Correctly identified String as immutable.; Correctly identified StringBuilder and StringBuffer as mutable.; Understood that mutable types offer performance benefits for multiple modifications.,"Thread-safety (the primary difference between StringBuilder and StringBuffer).; Detailed explanation of why mutable types are faster (modifying in-place vs. creating new objects).; Specific use cases for each class based on their characteristics (e.g., single-threaded vs. multi-threaded environments).",6453,2026-05-12T09:51:15.404699,
gemini_flash_en_run1,gemini-2.5-flash,10,Core Java,What is the Stream API?,"The Stream API is used for processing collections. It allows filtering, sorting, and mapping elements. It has been available since Java 8.",partial,partial,0.35,partial,True,"The candidate provides a factually correct but very high-level and superficial answer. While it touches upon the basic purpose and some operations, it completely misses the core technical characteristics, benefits, and fundamental concepts of the Stream API, such as its functional nature, lazy evaluation, non-mutating behavior, and the distinction between intermediate and terminal operations. The answer lacks the depth expected for even a junior developer.","Correctly identifies the general purpose of the Stream API (processing collections).; Lists common operations like filtering, sorting, and mapping.; Correctly states that it was introduced in Java 8.","Functional programming paradigm / declarative style; Lazy evaluation; Pipelining of operations; Non-mutating nature of streams; One-time use characteristic of streams; Internal vs. external iteration; Differentiation between intermediate and terminal operations; Support for parallelism; Other potential sources for streams beyond collections (e.g., arrays, I/O channels, `Stream.of()`, `IntStream.range()`); The concept of a 'sequence of elements' rather than just 'collections'",11683,2026-05-12T09:51:27.389023,
