experiment_id,model,test_id,topic,question,candidate_answer,human_label,expected_bucket,llm_score,predicted_bucket,match,feedback,strengths,missed_concepts,latency_ms,timestamp,error
llama31_en_run1,llama3.1,1,Core Java,What is the difference between the == operator and the equals() method?,"The == operator compares references — it checks whether two objects point to the same memory location. The equals() method compares the values of objects. For primitive types like int or char, == compares values because primitives have no references.",correct,correct,0.8,correct,True,"Good start, but be more precise and explicit in your explanation. For example, you could have mentioned that when comparing objects, == checks if both variables point to the same object instance, whereas equals() method is overridden by classes to compare their actual contents.",Correctly identified that == operator compares references; Mentioned that equals() method compares object values,"Did not explicitly mention that for primitive types, == also compares values",37163,2026-05-11T11:25:13.087348,
llama31_en_run1,llama3.1,2,Core Java,What is Optional and what problem does it solve?,"Optional is a container that may or may not hold a value. It was introduced in Java 8 to reduce NullPointerExceptions — instead of returning null from a method, we return an Optional and force the caller to explicitly handle the absence of a value using isPresent(), orElse(), or map().",correct,correct,0.9,correct,True,"Good effort, but be more precise and explicit in your answers. You're close to perfection!",Correctly identified the purpose of Optional; Mentioned the reduction of NullPointerExceptions; Provided examples of methods to handle absence of a value,Did not explicitly mention that Optional is a container for a single value; Did not provide a clear explanation of why Optional was introduced in Java 8,32694,2026-05-11T11:25:46.082088,
llama31_en_run1,llama3.1,3,Core Java,What does the synchronized keyword mean?,synchronized locks access to a method or code block so that only one thread can execute it at a time. This prevents race conditions — situations where two threads simultaneously modify the same variable and the result depends on the order of execution.,correct,correct,0.8,correct,True,"Good start, but be more precise and thorough in your explanations.",Correctly identified the purpose of synchronized; Mentioned prevention of race conditions,Did not mention the use of synchronized with methods vs code blocks; No explanation on how synchronization is achieved (e.g. using a lock object),28834,2026-05-11T11:26:15.216937,
llama31_en_run1,llama3.1,4,Core Java,What is the Garbage Collector and how does it work?,The GC is a JVM mechanism that automatically frees heap memory occupied by objects that no longer have any live references. It runs in the background and is triggered by the JVM — the programmer does not need to manually deallocate memory as in C++.,correct,correct,0.8,correct,True,"Good start, but be more thorough in explaining the inner workings of the GC.",Correctly identified the GC as a JVM mechanism; Mentioned that it frees heap memory occupied by objects with no live references,"Did not explain how the GC determines which objects are eligible for garbage collection; No mention of the different types of garbage collectors (e.g. generational, concurrent); No explanation of the trade-offs between garbage collection and manual memory management",35284,2026-05-11T11:26:50.801547,
llama31_en_run1,llama3.1,5,Core Java,What is a functional interface?,A functional interface has exactly one abstract method. This allows it to be used as a target type for a lambda. We can annotate it with @FunctionalInterface so the compiler enforces this requirement. It may have any number of default and static methods.,correct,correct,0.8,correct,True,"Good effort, but be more precise and explicit when explaining technical concepts.",Correctly identified that a functional interface has exactly one abstract method; Understood the purpose of using a functional interface as a target type for a lambda expression,Did not explicitly mention that default and static methods are allowed in addition to the single abstract method; Did not provide the exact annotation (@FunctionalInterface) with its purpose (compiler enforcement),25798,2026-05-11T11:27:16.900113,
llama31_en_run1,llama3.1,6,Core Java,What are the access modifiers in Java and how do they differ?,Java has four access modifiers: public — visible everywhere; protected — visible within the same package and in subclasses; package-private (no keyword) — visible only within the package; private — visible only within the same class.,correct,correct,0.8,correct,True,"Good start, but be more thorough in your explanations. Consider mentioning default access modifier and providing examples to illustrate differences.",Correctly identified four access modifiers; Provided a brief description of each modifier's visibility,Did not mention 'default' access modifier (which is the same as package-private); No explanation on how these modifiers differ in terms of inheritance and polymorphism,23056,2026-05-11T11:27:40.256458,
llama31_en_run1,llama3.1,7,OOP,What is the Open/Closed Principle?,"OCP states that classes should be open for extension but closed for modification. This means new behaviour is added by implementing an interface or through inheritance, not by changing existing code. A classic example is the Strategy pattern — instead of adding if-else branches to a class, we create a new implementation of an interface.",correct,correct,0.8,correct,True,"Good effort, but be sure to provide more context and details about the principle's significance in software design.",Correctly identified the principle and its purpose; Provided a clear explanation of the concept; Mentioned a relevant example (Strategy pattern),Did not explicitly mention SOLID principles as context,22563,2026-05-11T11:28:03.119977,
llama31_en_run1,llama3.1,8,OOP,What is abstraction in object-oriented programming?,"Abstraction is about hiding implementation details and exposing only the interface. In Java it is achieved through abstract classes and interfaces. We focus on 'what' an object does rather than 'how' it does it — for example, Collections.sort() — I don't know how it sorts internally, but I know how to use it.",correct,correct,0.8,correct,True,"Good effort, but be more precise and comprehensive in your explanation. Consider mentioning encapsulation and providing a clear example of how abstract classes contribute to abstraction.",Correctly identified the main concept of abstraction; Provided a clear and concise explanation; Used a relevant example (Collections.sort()),"Did not explicitly mention encapsulation as another key aspect of abstraction; Mentioned abstract classes, but did not explain their role in abstraction",35222,2026-05-11T11:28:38.642959,
llama31_en_run1,llama3.1,9,Core Java,"What is the difference between String, StringBuilder, and StringBuffer?","String is immutable — every change creates a new object. StringBuilder and StringBuffer are mutable, so they are faster when making multiple modifications. Both are used in a similar way.",partial,partial,0.8,correct,False,"Good start, but be more thorough in explaining the key differences between these classes.",Correctly identified immutability of String; Mentioned performance benefits of StringBuilder and StringBuffer,No explanation on the thread-safety aspect of StringBuffer; No discussion on the synchronization mechanism in StringBuffer,20418,2026-05-11T11:28:59.361880,
llama31_en_run1,llama3.1,10,Core Java,What is the Stream API?,"The Stream API is used for processing collections. It allows filtering, sorting, and mapping elements. It has been available since Java 8.",partial,partial,0.6,partial,True,"Good start, but be more specific about the key features and benefits of Stream API.",Mentioned that Stream API is used for processing collections; Correctly stated that it's available since Java 8,Did not explain the core concept of immutability and statelessness in Streams; No mention of parallelism or performance benefits,20885,2026-05-11T11:29:20.548029,
