experiment_id,model,test_id,topic,question,candidate_answer,human_label,expected_bucket,llm_score,predicted_bucket,match,feedback,strengths,missed_concepts,latency_ms,timestamp,error
claude_sonnet_en_run1,claude-sonnet-4-6,1,Core Java,What is the difference between the == operator and the equals() method?,"The == operator compares references — it checks whether two objects point to the same memory location. The equals() method compares the values of objects. For primitive types like int or char, == compares values because primitives have no references.",correct,correct,0.85,correct,True,"The candidate demonstrates a solid basic understanding of the difference between == and equals(). The explanation is accurate and covers the key distinction. However, the answer would be stronger by mentioning that equals() in the base Object class also compares references by default, and that classes like String override it to compare content. Mentioning the importance of overriding equals() in custom classes would show deeper understanding.",Correctly explains that == compares references (memory locations) for objects; Correctly explains that equals() compares values/content of objects; Correctly notes that == compares values for primitive types,"Did not mention that equals() by default (in Object class) also compares references, and needs to be overridden to compare values; No example given of a class that overrides equals() such as String; Did not mention the contract/consistency between equals() and hashCode()",5595,2026-05-12T10:08:02.894567,
claude_sonnet_en_run1,claude-sonnet-4-6,2,Core Java,What is Optional and what problem does it solve?,"Optional is a container that may or may not hold a value. It was introduced in Java 8 to reduce NullPointerExceptions — instead of returning null from a method, we return an Optional and force the caller to explicitly handle the absence of a value using isPresent(), orElse(), or map().",correct,correct,0.85,correct,True,"Good, concise answer that covers the core concept well. The candidate demonstrates solid understanding of what Optional is, why it was introduced, and how to use it with practical method examples. To improve, the candidate could mention factory methods for creating Optional instances and additional utility methods like orElseThrow() or ifPresent().","Correctly identifies Optional as a container that may or may not hold a value; Correctly states it was introduced in Java 8; Correctly identifies the main problem it solves: reducing NullPointerExceptions; Mentions the key use case of returning Optional instead of null; Lists concrete methods: isPresent(), orElse(), and map()","Could mention orElseThrow() as another important method; Could mention ifPresent() for consuming the value if present; No mention of Optional.of(), Optional.ofNullable(), or Optional.empty() factory methods; Could elaborate on how it makes the API contract more explicit by signaling that a value may be absent",5719,2026-05-12T10:08:08.915039,
claude_sonnet_en_run1,claude-sonnet-4-6,3,Core Java,What does the synchronized keyword mean?,synchronized locks access to a method or code block so that only one thread can execute it at a time. This prevents race conditions — situations where two threads simultaneously modify the same variable and the result depends on the order of execution.,correct,correct,0.85,correct,True,"The candidate provides a solid, correct, and practical explanation of the synchronized keyword. The answer covers the core purpose well and correctly ties it to race conditions. However, for a more complete answer, the candidate could have mentioned the underlying monitor/intrinsic lock mechanism, memory visibility guarantees, and the distinction between synchronizing on instance vs. class level. Overall, a good foundational understanding is demonstrated.",Correctly explains that synchronized restricts access to one thread at a time; Accurately describes the concept of race conditions; Mentions both methods and code blocks as applicable targets; Explains the practical consequence of race conditions (result depends on execution order),No mention of the intrinsic lock/monitor object that synchronized uses internally; Did not mention that synchronized also ensures memory visibility (happens-before relationship); No mention of the difference between instance-level and class-level (static) synchronization; Did not mention potential performance implications or deadlock risks,6527,2026-05-12T10:08:15.743597,
claude_sonnet_en_run1,claude-sonnet-4-6,4,Core Java,What is the Garbage Collector and how does it work?,The GC is a JVM mechanism that automatically frees heap memory occupied by objects that no longer have any live references. It runs in the background and is triggered by the JVM — the programmer does not need to manually deallocate memory as in C++.,correct,correct,0.55,partial,False,"The candidate provides a basic and correct high-level definition of the Garbage Collector, but lacks technical depth expected even for a Junior Java Developer. The answer covers the 'what' but barely touches the 'how'. A stronger answer would describe generational GC, the mark-and-sweep process, Stop-the-World events, and at least mention some GC implementations available in the JVM. The answer is a good starting point but needs significantly more detail to demonstrate solid understanding.",Correctly identifies GC as a JVM mechanism; Correctly states it frees heap memory; Mentions objects with no live references are collected; Correctly notes it runs in the background automatically; Good comparison to manual memory management in C++,"No mention of generational garbage collection (Young, Old/Tenured, Metaspace generations); No explanation of GC phases (Mark, Sweep, Compact); No mention of specific GC algorithms (Serial, Parallel, G1, ZGC, Shenandoah); No discussion of Stop-the-World pauses; No mention of how objects move between generations (Eden, Survivor spaces); No mention of GC roots and reachability analysis; No mention of finalization or weak/soft/phantom references",7420,2026-05-12T10:08:23.464694,
claude_sonnet_en_run1,claude-sonnet-4-6,5,Core Java,What is a functional interface?,A functional interface has exactly one abstract method. This allows it to be used as a target type for a lambda. We can annotate it with @FunctionalInterface so the compiler enforces this requirement. It may have any number of default and static methods.,correct,correct,1.0,correct,True,"The candidate provided a complete and accurate answer covering all key aspects of functional interfaces: the single abstract method requirement, lambda expression compatibility, the @FunctionalInterface annotation, and the allowance of default/static methods. The answer is concise and technically correct.",Correctly identified that a functional interface has exactly one abstract method; Mentioned lambda expressions as target types; Correctly noted the @FunctionalInterface annotation and its compiler enforcement role; Correctly stated that default and static methods are allowed in any number,,3541,2026-05-12T10:08:27.307088,
claude_sonnet_en_run1,claude-sonnet-4-6,6,Core Java,What are the access modifiers in Java and how do they differ?,Java has four access modifiers: public — visible everywhere; protected — visible within the same package and in subclasses; package-private (no keyword) — visible only within the package; private — visible only within the same class.,correct,correct,0.95,correct,True,"The candidate provided a solid and accurate answer covering all four access modifiers with correct visibility scopes. The answer demonstrates a good understanding of Java access control. Minor gaps include not mentioning that protected access also includes the class itself, and not discussing where modifiers can be applied. Overall, this is a strong answer for a Junior Java Developer position.",Correctly identified all four access modifiers in Java; Accurately described the visibility scope for each modifier; Mentioned the 'no keyword' (package-private) case which many candidates miss; Clear and concise explanation,"Could have mentioned that protected also allows access within the same class; No mention of where these modifiers can be applied (classes, methods, fields); Did not mention that top-level classes can only be public or package-private",5537,2026-05-12T10:08:33.144752,
claude_sonnet_en_run1,claude-sonnet-4-6,7,OOP,What is the Open/Closed Principle?,"OCP states that classes should be open for extension but closed for modification. This means new behaviour is added by implementing an interface or through inheritance, not by changing existing code. A classic example is the Strategy pattern — instead of adding if-else branches to a class, we create a new implementation of an interface.",correct,correct,0.95,correct,True,"Excellent answer. The candidate demonstrates a clear and accurate understanding of the Open/Closed Principle, including its definition, practical application, and a concrete design pattern example. The answer is concise yet technically complete. Minor improvements could include mentioning the broader SOLID context and the motivation behind avoiding modification (e.g., stability, avoiding regressions).",Correctly defines OCP as open for extension but closed for modification; Explains the practical implication of adding behavior through interfaces or inheritance; Provides a concrete and relevant example using the Strategy pattern; Correctly identifies that OCP avoids adding if-else branches to existing code,"Could mention that OCP is part of the SOLID principles; Could elaborate on why modifying existing code is risky (e.g., risk of breaking existing functionality, regression)",5288,2026-05-12T10:08:38.733219,
claude_sonnet_en_run1,claude-sonnet-4-6,8,OOP,What is abstraction in object-oriented programming?,"Abstraction is about hiding implementation details and exposing only the interface. In Java it is achieved through abstract classes and interfaces. We focus on 'what' an object does rather than 'how' it does it — for example, Collections.sort() — I don't know how it sorts internally, but I know how to use it.",correct,correct,0.85,correct,True,"The candidate demonstrates a solid understanding of abstraction with a clear definition and a good real-world example. The answer covers the core concept well. To improve, the candidate could elaborate on the distinction between abstract classes and interfaces as abstraction tools, and possibly touch on how abstraction relates to encapsulation. Overall, a competent answer for a Junior Java Developer level.","Correctly defines abstraction as hiding implementation details and exposing only the interface; Mentions both abstract classes and interfaces as Java mechanisms for abstraction; Clearly articulates the 'what vs how' distinction; Provides a practical, relatable example with Collections.sort()",Did not mention access modifiers as part of abstraction mechanism; Did not elaborate on the difference between abstract classes and interfaces in terms of abstraction; Could have mentioned encapsulation's relationship to abstraction,4989,2026-05-12T10:08:44.023379,
claude_sonnet_en_run1,claude-sonnet-4-6,9,Core Java,"What is the difference between String, StringBuilder, and StringBuffer?","String is immutable — every change creates a new object. StringBuilder and StringBuffer are mutable, so they are faster when making multiple modifications. Both are used in a similar way.",partial,partial,0.55,partial,True,"The candidate demonstrates a basic understanding of the immutability of String and the mutability of StringBuilder and StringBuffer, but misses the critical distinction between StringBuilder and StringBuffer — namely thread safety. StringBuffer is synchronized (thread-safe) while StringBuilder is not, making StringBuilder faster in single-threaded contexts. This is the key differentiator between the two mutable classes and is essential knowledge for a Java developer. The answer needs more depth to be considered complete.",Correctly identifies String as immutable; Correctly identifies StringBuilder and StringBuffer as mutable; Mentions performance benefit of mutable classes for multiple modifications,"No mention that StringBuffer is thread-safe (synchronized) while StringBuilder is not; No mention that StringBuilder is faster than StringBuffer due to lack of synchronization overhead; No mention of use cases: StringBuilder for single-threaded, StringBuffer for multi-threaded environments; No mention that String immutability means it is stored in the String pool; No explanation of how String concatenation with '+' creates new objects each time",7408,2026-05-12T10:08:51.732443,
claude_sonnet_en_run1,claude-sonnet-4-6,10,Core Java,What is the Stream API?,"The Stream API is used for processing collections. It allows filtering, sorting, and mapping elements. It has been available since Java 8.",partial,partial,0.4,partial,True,"The candidate provides a very basic and surface-level description of the Stream API. While the answer is technically correct in what it states, it lacks depth and misses several important concepts such as the distinction between intermediate and terminal operations, lazy evaluation, the pipeline/chaining model, immutability of the source, and parallel stream support. For a Junior Java Developer position, a more detailed understanding is expected.","Correctly identifies Stream API as used for processing collections; Mentions key operations: filtering, sorting, and mapping; Correctly states it was introduced in Java 8","No mention of lazy evaluation / lazy execution of intermediate operations; No distinction between intermediate operations (filter, map, sorted) and terminal operations (collect, forEach, reduce); No mention that streams do not modify the original data source; No mention of functional programming / declarative style; No mention of parallel streams and parallel processing capability; No mention that a stream can only be consumed once; No mention of method chaining / pipeline concept",6988,2026-05-12T10:08:59.022991,
claude_sonnet_en_run1,claude-sonnet-4-6,11,OOP,What is the Single Responsibility Principle?,SRP says that a class should do only one thing. It should not mix business logic with database access.,partial,partial,0.4,partial,True,"The candidate gives a basic and partially correct answer — understanding that a class should 'do only one thing' is the surface-level idea of SRP. However, the more precise definition is that a class should have only one *reason to change*, which is a subtly different and more powerful concept. The answer lacks depth: no mention of SOLID principles, no discussion of cohesion, maintainability, or testability benefits, and only one brief example. For a Junior Developer, this answer shows minimal awareness but lacks the technical depth expected.",Correctly identifies that SRP means a class should have only one responsibility; Provides a practical example distinguishing business logic from database access,The formal definition: a class should have only one reason to change; The concept of 'reason to change' as the core of SRP; Mention of Robert C. Martin (Uncle Bob) who formalized this principle; SRP is part of the SOLID principles; Explanation of how SRP improves maintainability and testability; More concrete examples of SRP violations and correct design,6582,2026-05-12T10:09:05.906990,
