experiment_id,model,mode,test_id,topic,question,candidate_answer,human_label,expected_bucket,llm_score,predicted_bucket,match,feedback,strengths,missed_concepts,latency_ms,timestamp,error
gemini_flash_pure_run2,gemini-2.5-flash,pure,1,Core Java,What is the difference between the == operator and the equals() method?,"The == operator compares references — it checks whether two objects point to the same memory location. The equals() method compares the values of objects. For primitive types like int or char, == compares values because primitives have no references.",correct,correct,0.65,correct,True,"The candidate provided a good explanation for the `==` operator, accurately distinguishing its behavior for object references and primitive types. However, the explanation for the `equals()` method is incomplete. It's critical to understand that the default `equals()` method inherited from `Object` performs a reference comparison, just like `==`. The primary purpose of `equals()` is that it *can be overridden* by classes to define a custom value-based comparison, which is its most common use case. This crucial detail was missing.",Correctly identified that '==' compares references for objects.; Correctly identified that '==' compares values for primitive types.,"The default implementation of `equals()` in `java.lang.Object` performs a reference comparison, identical to the `==` operator for objects.; The `equals()` method is typically overridden in classes to provide a custom, meaningful value comparison logic.; The contract of the `equals()` method (reflexivity, symmetry, transitivity, consistency, non-nullity).",5907,2026-05-12T17:10:04.893611,
gemini_flash_pure_run2,gemini-2.5-flash,pure,2,Core Java,What is Optional and what problem does it solve?,"Optional is a container that may or may not hold a value. It was introduced in Java 8 to reduce NullPointerExceptions — instead of returning null from a method, we return an Optional and force the caller to explicitly handle the absence of a value using isPresent(), orElse(), or map().",correct,correct,0.85,correct,True,"The candidate provides a solid and accurate explanation of `Optional`, correctly identifying its core purpose in mitigating `NullPointerException`s and its introduction in Java 8. The explanation of how it forces explicit handling of absent values and the examples of `isPresent()`, `orElse()`, and `map()` are good. To demonstrate a more comprehensive understanding, the candidate could have mentioned the factory methods for creating `Optional` instances (like `Optional.of()` and `Optional.ofNullable()`) and other useful methods such as `orElseThrow()` or `ifPresent()`. Discussing best practices for its usage would also add further depth.","Accurately defines Optional as a container for a potentially absent value.; Correctly identifies its introduction in Java 8.; Clearly states its primary purpose: reducing NullPointerExceptions.; Explains the paradigm shift from returning null to returning Optional.; Highlights the benefit of forcing explicit handling of absent values.; Provides relevant examples of common methods (isPresent(), orElse(), map()).","Factory methods for creating Optional instances (e.g., Optional.of(), Optional.ofNullable(), Optional.empty()).; Other common methods like orElseThrow(), ifPresent(), filter(), or flatMap().; The immutability of Optional instances.; Best practices regarding its usage (e.g., not for fields, not for collections, not for method parameters in all cases).; The existence of primitive-specific Optional types (OptionalInt, OptionalLong, OptionalDouble).",6971,2026-05-12T17:10:12.166404,
gemini_flash_pure_run2,gemini-2.5-flash,pure,3,Core Java,What does the synchronized keyword mean?,synchronized locks access to a method or code block so that only one thread can execute it at a time. This prevents race conditions — situations where two threads simultaneously modify the same variable and the result depends on the order of execution.,correct,correct,0.6,partial,False,"The candidate provides a good foundational understanding of the `synchronized` keyword's primary purpose and the problem it solves. However, the answer lacks depth regarding the underlying mechanism, specifically *what* object's monitor is being locked in different contexts (instance method, static method, code block), and the crucial memory visibility guarantees that `synchronized` provides, which are equally important for correct concurrent programming.","Correctly identifies that synchronized enforces mutual exclusion, allowing only one thread to execute a critical section at a time.; Accurately states that synchronized prevents race conditions.; Provides a clear and correct definition of a race condition.","The specific object whose monitor (intrinsic lock) is acquired/released (e.g., 'this' for instance methods, the Class object for static methods, or the object specified in the parentheses for synchronized blocks).; Memory visibility guarantees (the happens-before relationship) provided by synchronized, ensuring that changes made by one thread are visible to subsequent threads acquiring the same lock.; The concept of reentrancy for intrinsic locks.",6658,2026-05-12T17:10:19.126425,
gemini_flash_pure_run2,gemini-2.5-flash,pure,4,Core Java,What is the Garbage Collector and how does it work?,The GC is a JVM mechanism that automatically frees heap memory occupied by objects that no longer have any live references. It runs in the background and is triggered by the JVM — the programmer does not need to manually deallocate memory as in C++.,correct,correct,0.4,partial,False,"The candidate provides a correct high-level definition of the Garbage Collector and its purpose, including a good comparison to C++. However, the answer is very shallow regarding 'how it works'. It lacks any technical details about the underlying mechanisms, such as how unreachable objects are identified (GC roots), common algorithms, generational collection, or the concept of 'Stop-the-World' pauses. For a junior role, a basic understanding of these internal workings is expected.",Correctly identifies the Garbage Collector as a JVM mechanism.; Accurately describes its primary function: automatic freeing of heap memory for objects without live references.; Highlights the key benefit of automatic memory management compared to manual deallocation in languages like C++.; Mentions that it runs in the background and is triggered by the JVM.,"Explanation of GC roots and how reachability is determined.; Basic GC algorithms (e.g., Mark-and-Sweep, Copying, Mark-and-Compact).; The concept of Generational Garbage Collection (Young/Old generations, Minor/Major GC).; The occurrence and impact of 'Stop-the-World' pauses.; Different types of Garbage Collectors available in the JVM (e.g., Serial, Parallel, G1, ZGC, Shenandoah).",7276,2026-05-12T17:10:26.703893,
gemini_flash_pure_run2,gemini-2.5-flash,pure,5,Core Java,What is a functional interface?,A functional interface has exactly one abstract method. This allows it to be used as a target type for a lambda. We can annotate it with @FunctionalInterface so the compiler enforces this requirement. It may have any number of default and static methods.,correct,correct,0.95,correct,True,"The candidate provided a very strong and accurate definition of a functional interface, covering all essential aspects for a junior role. The explanation of its core characteristic, its link to lambdas, the annotation, and the allowance for default/static methods demonstrates a solid understanding. A minor point for deeper understanding would be to explicitly mention that inherited methods from `java.lang.Object` do not violate the single abstract method rule.",Correctly identifies the core characteristic of having exactly one abstract method.; Accurately explains its purpose as a target type for lambda expressions.; Mentions the `@FunctionalInterface` annotation and its role in compiler enforcement.; Correctly states that functional interfaces can have any number of default and static methods.,"Explicitly mentioning that methods inherited from `java.lang.Object` (e.g., `equals`, `hashCode`, `toString`) do not count towards the single abstract method rule.",6358,2026-05-12T17:10:33.364995,
gemini_flash_pure_run2,gemini-2.5-flash,pure,6,Core Java,What are the access modifiers in Java and how do they differ?,Java has four access modifiers: public — visible everywhere; protected — visible within the same package and in subclasses; package-private (no keyword) — visible only within the package; private — visible only within the same class.,correct,correct,0.9,correct,True,"The candidate provided a concise and accurate description of all four Java access modifiers and their respective visibility scopes. They correctly identified the package-private modifier and noted its lack of an explicit keyword. To enhance the answer, discussing which language elements each modifier can be applied to (e.g., top-level classes vs. members) and providing practical examples or implications for API design would add further depth.",Correctly identified all four access modifiers in Java.; Accurately described the visibility scope for each access modifier.; Correctly noted that the package-private access level has no explicit keyword.,"Did not specify which language elements (e.g., classes, methods, fields, constructors) each modifier can be applied to (e.g., private and protected cannot be applied to top-level classes).; Did not discuss the practical implications of using different access modifiers for API design or inheritance beyond basic visibility rules.; No examples were provided to illustrate the differences in a practical context.",7461,2026-05-12T17:10:41.126697,
gemini_flash_pure_run2,gemini-2.5-flash,pure,7,OOP,What is the Open/Closed Principle?,"OCP states that classes should be open for extension but closed for modification. This means new behaviour is added by implementing an interface or through inheritance, not by changing existing code. A classic example is the Strategy pattern — instead of adding if-else branches to a class, we create a new implementation of an interface.",correct,correct,0.9,correct,True,"The candidate provides a strong answer, clearly defining the Open/Closed Principle and illustrating it with a pertinent example. The explanation of how the Strategy pattern adheres to OCP by avoiding 'if-else' branches is particularly insightful. To elevate the answer further, the candidate could have explicitly mentioned polymorphism as the core concept enabling OCP and briefly touched upon the practical benefits of following this principle.","Provides an accurate and concise definition of the Open/Closed Principle.; Correctly identifies interfaces and inheritance as primary mechanisms for achieving OCP.; Offers a relevant and well-explained example (Strategy pattern) that clearly demonstrates the principle in practice, specifically how it avoids modifying existing code with new conditional branches.","Explicit mention of polymorphism as the underlying mechanism that enables OCP through interfaces and inheritance.; Discussion of the direct benefits of adhering to OCP, such as reduced risk of introducing bugs, improved maintainability, or better testability.; Could have explicitly mentioned abstract classes as another mechanism alongside interfaces and concrete inheritance.",5763,2026-05-12T17:10:47.190356,
gemini_flash_pure_run2,gemini-2.5-flash,pure,8,OOP,What is abstraction in object-oriented programming?,"Abstraction is about hiding implementation details and exposing only the interface. In Java it is achieved through abstract classes and interfaces. We focus on 'what' an object does rather than 'how' it does it — for example, Collections.sort() — I don't know how it sorts internally, but I know how to use it.",correct,correct,0.85,correct,True,"The candidate provides a strong foundational understanding of abstraction, accurately defining it and identifying its primary implementations in Java. The 'what vs. how' explanation and the `Collections.sort()` example are particularly good. To achieve a higher score, the candidate could have elaborated on the mechanics of how abstract classes and interfaces enforce abstraction and discussed the practical benefits of applying this principle in software development.",Provides a clear and concise definition of abstraction.; Correctly identifies abstract classes and interfaces as primary mechanisms in Java.; Effectively explains the 'what vs. how' principle.; Offers a relevant and practical example (`Collections.sort()`) to illustrate the concept.,"Detailed explanation of how abstract methods and interfaces enforce abstraction (e.g., requiring concrete implementations in subclasses/implementing classes).; Discussion of the key benefits of abstraction in software design (e.g., reduced complexity, improved maintainability, flexibility, promoting loose coupling).",7175,2026-05-12T17:10:54.666575,
gemini_flash_pure_run2,gemini-2.5-flash,pure,9,Core Java,"What is the difference between String, StringBuilder, and StringBuffer?","String is immutable — every change creates a new object. StringBuilder and StringBuffer are mutable, so they are faster when making multiple modifications. Both are used in a similar way.",partial,partial,0.4,partial,True,"The candidate correctly identified the fundamental difference between String (immutable) and StringBuilder/StringBuffer (mutable), and the performance advantage of mutable builders for repeated modifications. However, the answer completely missed the critical distinction between StringBuilder and StringBuffer, which is their thread-safety. Stating they are 'used in a similar way' indicates a lack of understanding of their core difference and respective use cases in concurrent programming.",Correctly identified String as immutable and explained that changes create new objects.; Correctly identified StringBuilder and StringBuffer as mutable.; Understood the performance benefit of using mutable builders for multiple modifications.,"Thread-safety difference between StringBuilder and StringBuffer (StringBuffer is synchronized, StringBuilder is not).; Performance implications of synchronization for StringBuilder vs. StringBuffer.; Specific use cases for each (e.g., StringBuffer for multi-threaded environments, StringBuilder for single-threaded).",5540,2026-05-12T17:11:00.507285,
gemini_flash_pure_run2,gemini-2.5-flash,pure,10,Core Java,What is the Stream API?,"The Stream API is used for processing collections. It allows filtering, sorting, and mapping elements. It has been available since Java 8.",partial,partial,0.35,partial,True,"The candidate provides a correct but very high-level overview of the Stream API. While the core purpose, some operations, and its introduction version are accurate, the answer lacks significant technical depth. It misses crucial concepts such as the definition of a stream itself, the fundamental distinction between intermediate and terminal operations, lazy evaluation, and how streams are sourced. For a Junior Java Developer, a more detailed understanding of these mechanics is expected.","Correctly identifies the primary use case for processing collections.; Mentions common and important operations like filtering, sorting, and mapping.; Accurately states its introduction in Java 8.","Definition of a Stream (e.g., a sequence of elements, not a data structure, doesn't store elements).; Distinction between intermediate and terminal operations.; Lazy evaluation of stream operations.; How streams are created (stream sources like collections, arrays, `Stream.of()`).; The concept of a stream pipeline.; The non-modifying nature of stream operations on the source.; Examples of terminal operations beyond implied transformations (e.g., `collect`, `forEach`, `reduce`).; Parallel streams.",7367,2026-05-12T17:11:08.175495,
