experiment_id,model,mode,test_id,topic,question,candidate_answer,human_label,expected_bucket,llm_score,predicted_bucket,match,feedback,strengths,missed_concepts,latency_ms,timestamp,error
llama31_pure_run2,llama3.1,pure,1,Core Java,What is the difference between the == operator and the equals() method?,"The == operator compares references — it checks whether two objects point to the same memory location. The equals() method compares the values of objects. For primitive types like int or char, == compares values because primitives have no references.",correct,correct,0.8,correct,True,"Good start, but be more precise when explaining object equality. Consider mentioning how equals() can be overridden in custom classes.",Correctly identified that == operator compares references; Understood the difference between reference and value comparison,"Did not explicitly mention that for objects, equals() method is overridden to compare values, not just default implementation",41854,2026-05-12T16:16:12.363496,
llama31_pure_run2,llama3.1,pure,2,Core Java,What is Optional and what problem does it solve?,"Optional is a container that may or may not hold a value. It was introduced in Java 8 to reduce NullPointerExceptions — instead of returning null from a method, we return an Optional and force the caller to explicitly handle the absence of a value using isPresent(), orElse(), or map().",correct,correct,0.9,correct,True,"Good start, but be more precise in explaining the benefits of using Optional. Consider mentioning its impact on code quality and maintainability.",Correctly identified Optional as a container that may or may not hold a value; Mentioned the problem it solves (reducing NullPointerExceptions); Provided examples of methods to handle the absence of a value,Did not mention the concept of nullability and how Optional improves code readability by making intent clear at compile-time; No explanation on why Optional is preferred over traditional null checks or explicit null handling,36253,2026-05-12T16:16:48.917830,
llama31_pure_run2,llama3.1,pure,3,Core Java,What does the synchronized keyword mean?,synchronized locks access to a method or code block so that only one thread can execute it at a time. This prevents race conditions — situations where two threads simultaneously modify the same variable and the result depends on the order of execution.,correct,correct,0.8,correct,True,"Good start, but be more specific about the underlying mechanism and consider additional implications.",Correctly identified the purpose of synchronized; Mentioned prevention of race conditions,"Did not explain how synchronization is achieved (e.g., using a monitor or lock object); No mention of the impact on performance or potential deadlocks",33560,2026-05-12T16:17:22.778242,
llama31_pure_run2,llama3.1,pure,4,Core Java,What is the Garbage Collector and how does it work?,The GC is a JVM mechanism that automatically frees heap memory occupied by objects that no longer have any live references. It runs in the background and is triggered by the JVM — the programmer does not need to manually deallocate memory as in C++.,correct,correct,0.8,correct,True,"Good start, but be more specific about the GC's inner workings and algorithms used.",Correctly identified the GC's purpose; Mentioned that it frees heap memory occupied by objects with no live references,"Did not explain how the GC determines which objects are eligible for collection; No mention of garbage collection algorithms (e.g. mark-and-sweep, generational)",28536,2026-05-12T16:17:51.615867,
llama31_pure_run2,llama3.1,pure,5,Core Java,What is a functional interface?,A functional interface has exactly one abstract method. This allows it to be used as a target type for a lambda. We can annotate it with @FunctionalInterface so the compiler enforces this requirement. It may have any number of default and static methods.,correct,correct,0.9,correct,True,"Good start! However, be more precise when describing the relationship between default and abstract methods in a functional interface.",Correctly identified the key characteristic of a functional interface; Mentioned the purpose of using it as a target type for a lambda expression; Recognized the role of the @FunctionalInterface annotation,"Did not explicitly mention that a functional interface can have only one abstract method, including default methods (which are implicitly abstract)",30602,2026-05-12T16:18:22.519079,
llama31_pure_run2,llama3.1,pure,6,Core Java,What are the access modifiers in Java and how do they differ?,Java has four access modifiers: public — visible everywhere; protected — visible within the same package and in subclasses; package-private (no keyword) — visible only within the package; private — visible only within the same class.,correct,correct,0.8,correct,True,"Good start, but be more precise with package-private and provide examples for protected modifier.",Correctly identified four access modifiers; Understood public modifier visibility,Did not mention default (package-private) keyword explicitly; No explanation on protected modifier's behavior in inheritance,23919,2026-05-12T16:18:46.739584,
llama31_pure_run2,llama3.1,pure,7,OOP,What is the Open/Closed Principle?,"OCP states that classes should be open for extension but closed for modification. This means new behaviour is added by implementing an interface or through inheritance, not by changing existing code. A classic example is the Strategy pattern — instead of adding if-else branches to a class, we create a new implementation of an interface.",correct,correct,0.8,correct,True,"Good start, but be more precise and provide concrete examples. Consider explaining how abstraction helps achieve OCP.",Correctly identified the principle as Open/Closed Principle (OCP); Understood the concept of extension and modification; Provided a relevant example with the Strategy pattern,Did not explicitly mention the role of abstraction in achieving OCP; Failed to provide a more detailed explanation or code snippet to illustrate the principle,32471,2026-05-12T16:19:19.511804,
llama31_pure_run2,llama3.1,pure,8,OOP,What is abstraction in object-oriented programming?,"Abstraction is about hiding implementation details and exposing only the interface. In Java it is achieved through abstract classes and interfaces. We focus on 'what' an object does rather than 'how' it does it — for example, Collections.sort() — I don't know how it sorts internally, but I know how to use it.",correct,correct,0.8,correct,True,"Good start on explaining abstraction. However, you should also have mentioned that abstract classes and interfaces are used to define contracts or blueprints for objects, rather than just hiding implementation details. Additionally, while your example with Collections.sort() is good, it would be more accurate to say that we don't need to know the internal implementation of sort(), but rather that it's a black box that provides a specific functionality.",Correctly identified abstraction as hiding implementation details; Provided a clear example with Collections.sort(),"Did not mention encapsulation, which is another key aspect of abstraction",35550,2026-05-12T16:19:55.362933,
llama31_pure_run2,llama3.1,pure,9,Core Java,"What is the difference between String, StringBuilder, and StringBuffer?","String is immutable — every change creates a new object. StringBuilder and StringBuffer are mutable, so they are faster when making multiple modifications. Both are used in a similar way.",partial,partial,0.8,correct,False,"Good start, but be more thorough in explaining the key differences and nuances of each class.",Correctly identified immutability of String; Mentioned performance benefits of mutable classes,Did not explain the difference in thread-safety between StringBuilder and StringBuffer; No explanation on how to use each class correctly (e.g. when to use append() vs. +=),22711,2026-05-12T16:20:18.375241,
llama31_pure_run2,llama3.1,pure,10,Core Java,What is the Stream API?,"The Stream API is used for processing collections. It allows filtering, sorting, and mapping elements. It has been available since Java 8.",partial,partial,0.6,partial,True,"Good start, but be more specific and detailed in your answer. Streams are not just for filtering and sorting, they enable a functional programming style with lazy evaluation and pipelining.","Correctly identified the purpose of the Stream API; Mentioned some common operations like filtering, sorting, and mapping","Did not mention intermediate operations (e.g., mapReduce, collect); No explanation on how streams are lazily evaluated or pipelined; No discussion on parallelism or performance benefits",29467,2026-05-12T16:20:48.143731,
llama31_pure_run2,llama3.1,pure,11,OOP,What is the Single Responsibility Principle?,SRP says that a class should do only one thing. It should not mix business logic with database access.,partial,partial,0.6,partial,True,"While you've touched on the essence of SRP, your answer lacks depth and clarity. Consider explaining how SRP improves maintainability, testability, and scalability.",Identified the core idea of SRP; Mentioned separation of concerns,Did not provide a clear definition or explanation of SRP; No mention of benefits or implications of violating SRP,19929,2026-05-12T16:21:08.373502,
llama31_pure_run2,llama3.1,pure,12,Core Java,What is the difference between an Error and an Exception?,"An Error is a more serious problem than an Exception. Both inherit from Throwable. Exceptions are handled with try-catch, and Errors can technically be caught too but should not be.",partial,partial,0.8,correct,False,"While you've shown some understanding of the topic, your answer lacks depth. Be more precise in explaining the key differences between Error and Exception.",Correctly identified that both Error and Exception inherit from Throwable; Understood the general difference in severity between Error and Exception,"Did not explicitly mention that Errors are usually unrecoverable, whereas Exceptions can be handled and recovered from; Did not provide a clear explanation of why Errors should not be caught",25966,2026-05-12T16:21:34.640907,
llama31_pure_run2,llama3.1,pure,13,Core Java,What is the difference between map() and flatMap() in the Stream API?,"map() transforms each element of the stream into another element. flatMap() also transforms, but I think it flattens nested collections — I'm not entirely sure how it works exactly.",partial,partial,0.3,partial,True,"The candidate demonstrated a basic understanding of the map() method, but failed to accurately describe the purpose and behavior of flatMap(). The answer lacks technical depth and contains uncertainty about how flatMap() works.",attempted to explain map() correctly,flatMap() purpose and behavior; difference between map() and flatMap(),20135,2026-05-12T16:21:55.077039,
llama31_pure_run2,llama3.1,pure,14,Core Java,What does the synchronized keyword mean?,synchronized ensures that a given method or block of code can only be executed by one thread at a time. It is used when multiple threads share data.,partial,partial,0.8,correct,False,"Good start, but be more specific about the underlying mechanism and consider discussing potential trade-offs.",Correctly identified the purpose of synchronized; Mentioned the context where it's typically used,"Did not explain how synchronization is achieved (e.g., using a lock); No mention of the impact on performance or potential deadlocks",21305,2026-05-12T16:22:16.683289,
llama31_pure_run2,llama3.1,pure,15,OOP,What is encapsulation?,Encapsulation means setting class fields as private and exposing them through public getters and setters. This way we control access to data.,partial,partial,0.6,partial,True,"Encapsulation is a fundamental concept in object-oriented programming. While you've identified some key aspects, your answer lacks depth and clarity. Consider explaining why encapsulation is useful (e.g., data hiding, abstraction) and how it contributes to the overall design of an application.",Identified the concept of encapsulation; Mentioned the use of private fields,Did not explain the purpose and benefits of encapsulation; Did not mention the immutability aspect of encapsulation; Used vague terms like 'control access to data',28847,2026-05-12T16:22:45.830900,
llama31_pure_run2,llama3.1,pure,16,Core Java,What are lambda expressions introduced in Java 8?,"A lambda is a shorthand notation for an anonymous method. The syntax is parameters, arrow, and body: (x) -> x * 2. It allows writing shorter code instead of anonymous inner classes.",partial,partial,0.6,partial,True,"While you have a good understanding of the basic syntax and concept of lambda expressions, your answer lacks depth and does not demonstrate a thorough understanding of the features introduced in Java 8.",Correctly identified lambda expressions as a shorthand notation for anonymous methods; Recognized the syntax of lambda expressions,"Did not mention method references or functional interfaces, which are key components of lambda expressions in Java 8; Did not provide any information about the benefits or use cases of lambda expressions",26975,2026-05-12T16:23:13.107774,
llama31_pure_run2,llama3.1,pure,17,Core Java,What is the String Pool in Java?,The String Pool is an area in stack memory where the JVM stores string literals. This way two Strings with the same value point to the same object and we save memory.,wrong,low,0.6,partial,False,"Good start, but be more precise with your terminology. The String Pool is a part of the PermGen, not just stack memory.",Correctly identified the purpose of the String Pool; Mentioned the concept of sharing strings in memory,"Did not specify that the String Pool is actually a part of the PermGen (or Metaspace in newer JVMs) and not just stack memory; Failed to explain how string interning works, including the process of adding new strings to the pool",28827,2026-05-12T16:23:42.235556,
llama31_pure_run2,llama3.1,pure,18,Core Java,What is varargs in Java?,Varargs allows passing exactly one argument of a given type to a method without creating an array. The ... notation is used in the method signature.,wrong,low,0.6,partial,False,"While you're on the right track, your answer lacks depth. Varargs is more than just passing one argument. It's about allowing flexible argument lists in methods.",Correctly identified the purpose of varargs; Mentioned the use of the ... notation,"Varargs can accept multiple arguments, not just one; The method signature should be declared with a type followed by [] and then the vararg name",22729,2026-05-12T16:24:05.265398,
llama31_pure_run2,llama3.1,pure,19,OOP,Can you instantiate an abstract class?,"Yes, you can create objects of abstract classes using new, but only if you implement all abstract methods inside the constructor.",wrong,low,0.4,partial,False,"You are correct that abstract classes can be instantiated, but you missed key details. In Java, when you instantiate an abstract class, it's essentially creating an instance of a concrete subclass (which must extend the abstract class). The new keyword is used to create this instance. However, your statement about implementing all abstract methods inside the constructor is incorrect.",Correctly stated that abstract classes can be instantiated,Abstract classes cannot have constructors with implementations; Instantiation of an abstract class does not require implementing all abstract methods inside the constructor,25922,2026-05-12T16:24:31.488850,
llama31_pure_run2,llama3.1,pure,20,OOP,What is the difference between aggregation and composition?,In composition objects can exist independently — for example a department and its professors. In aggregation the child object is destroyed along with the parent — for example a building and its rooms.,wrong,low,0.6,partial,False,"Your answer shows some understanding of the concepts, but it's incomplete and lacks technical precision. In Java, aggregation is a 'has-a' relationship where the child object can exist independently, whereas composition is a 'contains-a' relationship where the child object cannot exist without its parent. Your examples are good starting points, but they don't accurately illustrate the difference between these two concepts.",attempted to explain concept; provided examples,lack of clear definition; incomplete explanation of relationships between objects,26616,2026-05-12T16:24:58.405770,
llama31_pure_run2,llama3.1,pure,21,OOP,What is the Open/Closed Principle?,OCP means that once written code should never be modified. Closed for modification means that classes are final and cannot be inherited from.,wrong,low,0.2,low,True,The Open/Closed Principle is not about making classes final or preventing inheritance. It's about designing classes that can be extended without modifying their existing code. This means adding new functionality without altering the class's original behavior.,attempted to describe a principle,"Open/Closed Principle definition, implications of being 'open' for extension",18857,2026-05-12T16:25:17.563665,
llama31_pure_run2,llama3.1,pure,22,Core Java,What is a functional interface?,A functional interface is one that has many abstract methods but one main one. The @FunctionalInterface annotation identifies that main method which will be used by a lambda.,wrong,low,0.4,partial,False,"A functional interface is defined as an interface that has a single abstract method (SAM). The @FunctionalInterface annotation is used to indicate that the interface meets this condition. However, your answer incorrectly stated that it can have 'many' abstract methods.",attempted to describe the purpose of @FunctionalInterface,definition of functional interface in Java; requirement for only one abstract method; relationship between lambda expressions and functional interfaces,24041,2026-05-12T16:25:41.905671,
llama31_pure_run2,llama3.1,pure,23,Core Java,What is the Garbage Collector and how does it work?,The GC works on the stack and removes local variables that have gone out of scope after a method ends. This allows memory to be freed automatically.,wrong,low,0.2,low,True,"The Garbage Collector primarily works on the heap, not the stack. It identifies and frees memory occupied by objects that are no longer referenced. The explanation lacks technical depth and accuracy.",attempted to explain basic concept,"heap, object references, mark-and-sweep algorithm",17847,2026-05-12T16:26:00.052959,
llama31_pure_run2,llama3.1,pure,24,Core Java,What is the difference between map() and flatMap() in the Stream API?,"flatMap() transforms each element of the stream into exactly one other element. map() on the other hand allows flattening nested structures, for example Stream<List<String>> to Stream<String>.",wrong,low,0.8,correct,False,"Good start, but be more precise with your explanations. Consider mentioning the impact on stream size and the ability of map() to produce multiple output elements.",Correctly identified that flatMap() transforms each element; Provided a good example of using map() with nested structures,"Did not explicitly mention the difference in terms of stream size and potential performance implications; No explanation on how map() can produce multiple elements from one input, which is a key aspect of its behavior",27158,2026-05-12T16:26:27.511831,
llama31_pure_run2,llama3.1,pure,25,Core Java,What is the Garbage Collector and how does it work?,"The Garbage Collector is a very important mechanism in Java that automatically manages application memory in an efficient and transparent way for the programmer, ensuring optimal system performance and eliminating memory-related problems.",waffle,low,0.2,low,True,"The answer lacks technical depth and specific details about the Garbage Collector's inner workings. It only provides a high-level overview without explaining how it actually manages memory, which is crucial for a Junior Java Developer position.",Mentioned importance of GC; General understanding of purpose,How GC works; Types of GC algorithms; GC cycle explanation,21330,2026-05-12T16:26:49.142349,
llama31_pure_run2,llama3.1,pure,26,OOP,What is encapsulation?,"Encapsulation is a very important principle of object-oriented programming that allows writing better organised, clean, and secure code through proper structuring of classes and their members.",waffle,low,0.4,partial,False,"While you've touched on the importance of encapsulation, your answer lacks concrete technical details and a clear definition. Encapsulation is not just about structuring classes, but also about hiding internal implementation details from external access through public methods.",Mentioned OOP; Encouraging tone,Definition of encapsulation; Example or explanation of benefits,20681,2026-05-12T16:27:10.123736,
llama31_pure_run2,llama3.1,pure,27,Core Java,What are lambda expressions?,"Lambda expressions are a modern feature introduced in Java 8 that greatly simplifies code and makes it more elegant, concise, and easier to maintain for developers.",waffle,low,0.6,partial,False,"While you've identified the correct version and some benefits, provide more technical details about lambda expressions. Explain how they are used in conjunction with functional interfaces.","Correctly identified Java 8 as the version where lambda expressions were introduced; Used relevant adjectives (elegant, concise) to describe the benefits of lambda expressions",Did not explain the syntax or structure of a lambda expression; Failed to mention the functional interface concept that is essential for using lambda expressions,26762,2026-05-12T16:27:37.186540,
