experiment_id,model,mode,test_id,topic,question,candidate_answer,human_label,expected_bucket,llm_score,predicted_bucket,match,feedback,strengths,missed_concepts,latency_ms,timestamp,error
claude_sonnet_pure_run2,claude-sonnet-4-6,pure,1,Core Java,What is the difference between the == operator and the equals() method?,"The == operator compares references — it checks whether two objects point to the same memory location. The equals() method compares the values of objects. For primitive types like int or char, == compares values because primitives have no references.",correct,correct,0.85,correct,True,"The candidate demonstrates a solid basic understanding of the distinction between == and equals(). The explanation is accurate and covers the core concept well, including the special case of primitives. However, the answer lacks depth — a stronger answer would mention that equals() in the Object class defaults to reference comparison and must be overridden to provide value-based comparison (as done in String, for example). Mentioning the hashCode() contract and potential autoboxing pitfalls would further demonstrate deeper Java knowledge expected even at a junior level.",Correctly explains that == compares references (memory addresses) for objects; Correctly explains that equals() compares the logical/semantic values of objects; Correctly notes that == compares values directly for primitive types,"Did not mention that equals() is inherited from Object class and by default also compares references unless overridden; Did not provide an example of a class that overrides equals() such as String, Integer, etc.; Did not mention the importance of overriding hashCode() when overriding equals(); Did not mention autoboxing pitfalls (e.g., Integer == Integer can be tricky due to caching)",6723,2026-05-12T16:41:28.546935,
claude_sonnet_pure_run2,claude-sonnet-4-6,pure,2,Core Java,What is Optional and what problem does it solve?,"Optional is a container that may or may not hold a value. It was introduced in Java 8 to reduce NullPointerExceptions — instead of returning null from a method, we return an Optional and force the caller to explicitly handle the absence of a value using isPresent(), orElse(), or map().",correct,correct,0.82,correct,True,"A solid foundational answer that covers the essential purpose and basic usage of Optional. The candidate demonstrates a clear understanding of the problem it solves and mentions the most common consumption methods. To improve, the candidate should also discuss how to create Optional instances (of, ofNullable, empty), more of its functional-style methods (orElseThrow, flatMap, filter), and best practices around its usage (e.g., avoid using it as method parameters or class fields). Overall a good junior-level response.","Correctly identifies Optional as a container object introduced in Java 8; Accurately states the core problem it solves: reducing NullPointerExceptions; Mentions the key pattern shift from returning null to returning Optional; Correctly names relevant methods: isPresent(), orElse(), and map()","Optional.empty(), Optional.of(), and Optional.ofNullable() factory methods for creating Optional instances; Additional useful methods like ifPresent(), orElseGet(), orElseThrow(), flatMap(), filter(); The distinction between Optional.of() (throws NPE if null) vs Optional.ofNullable() (allows null); Recommended usage: primarily as a return type, not as method parameters or fields; The concept that Optional makes the API contract explicit — callers know a value might be absent; Optional is not serializable, which limits its use in certain contexts",8094,2026-05-12T16:41:36.942052,
claude_sonnet_pure_run2,claude-sonnet-4-6,pure,3,Core Java,What does the synchronized keyword mean?,synchronized locks access to a method or code block so that only one thread can execute it at a time. This prevents race conditions — situations where two threads simultaneously modify the same variable and the result depends on the order of execution.,correct,correct,0.72,correct,True,"The candidate gives a correct and reasonably clear basic explanation of synchronized. However, the answer stays at a surface level. A stronger answer would mention the underlying monitor/intrinsic lock mechanism, the difference between locking on an instance vs. a class, and crucially the memory visibility guarantee that synchronized provides (happens-before). For a junior role this is acceptable, but showing awareness of the lock object in synchronized blocks and potential pitfalls like deadlock would demonstrate deeper understanding.",Correctly identifies that synchronized restricts access to one thread at a time; Correctly explains the purpose of preventing race conditions; Understands that it applies to both methods and code blocks; Gives a clear definition of race conditions,"No mention of the monitor/intrinsic lock mechanism — every Java object has a built-in monitor lock; No distinction between instance-level locking (locks on 'this') and class-level locking (locks on the Class object) for static methods; No mention of memory visibility guarantees — synchronized also ensures changes made by one thread are visible to others (happens-before relationship); No mention of synchronized blocks requiring an explicit lock object (e.g., synchronized(lockObject) {}); No mention of potential downsides such as performance overhead or risk of deadlock",7628,2026-05-12T16:41:44.871457,
claude_sonnet_pure_run2,claude-sonnet-4-6,pure,4,Core Java,What is the Garbage Collector and how does it work?,The GC is a JVM mechanism that automatically frees heap memory occupied by objects that no longer have any live references. It runs in the background and is triggered by the JVM — the programmer does not need to manually deallocate memory as in C++.,correct,correct,0.35,partial,False,"The candidate provides a very basic, surface-level definition of the Garbage Collector. While the core idea is correct — that GC automatically reclaims heap memory from unreachable objects — the answer lacks any technical depth expected even at a junior level. A stronger answer would explain generational GC, the Mark-Sweep-Compact process, GC Roots and reachability analysis, the difference between Minor and Major GC, and ideally mention at least one GC algorithm (e.g., G1 GC). The answer reads more like a textbook one-liner than a demonstration of practical understanding.",Correctly identifies GC as a JVM mechanism for automatic memory management; Correctly states it operates on heap memory; Correctly mentions it frees objects with no live references; Correctly notes it runs in the background and is triggered by JVM; Correct comparison to manual memory management in C++,"Generational garbage collection (Young Generation, Old/Tenured Generation, PermGen/Metaspace); GC phases: Mark, Sweep, Compact; Minor GC vs Major GC vs Full GC; Eden space, Survivor spaces (S0, S1) and object promotion; Reachability analysis / GC Roots concept; Stop-the-world pauses; Different GC algorithms: Serial, Parallel, CMS, G1, ZGC, Shenandoah; finalize() method and its deprecation; How GC is triggered (allocation failure, explicit System.gc() hint); Reference types: SoftReference, WeakReference, PhantomReference",8583,2026-05-12T16:41:53.755743,
claude_sonnet_pure_run2,claude-sonnet-4-6,pure,5,Core Java,What is a functional interface?,A functional interface has exactly one abstract method. This allows it to be used as a target type for a lambda. We can annotate it with @FunctionalInterface so the compiler enforces this requirement. It may have any number of default and static methods.,correct,correct,0.95,correct,True,"This is a strong, concise, and technically accurate answer for a Junior Java Developer. The candidate covers all the core aspects of functional interfaces: the SAM requirement, lambda compatibility, the @FunctionalInterface annotation, and the allowance of default/static methods. Minor additions like mentioning method references as another use case or the java.util.function package examples would have made it even more complete, but overall this demonstrates solid understanding of the concept.",Correctly identifies that a functional interface has exactly one abstract method (SAM - Single Abstract Method); Correctly explains the relationship with lambda expressions as target types; Mentions the @FunctionalInterface annotation and its purpose of compiler enforcement; Correctly notes that default and static methods are allowed without violating the contract,"Could mention that methods inherited from java.lang.Object (like equals, hashCode) do not count toward the abstract method count; Could mention built-in functional interfaces from java.util.function package (e.g., Predicate, Function, Consumer, Supplier); Could mention that functional interfaces can also be used as targets for method references",6269,2026-05-12T16:42:00.325579,
claude_sonnet_pure_run2,claude-sonnet-4-6,pure,6,Core Java,What are the access modifiers in Java and how do they differ?,Java has four access modifiers: public — visible everywhere; protected — visible within the same package and in subclasses; package-private (no keyword) — visible only within the package; private — visible only within the same class.,correct,correct,0.9,correct,True,"The candidate demonstrates solid foundational knowledge of Java access modifiers, correctly listing all four and their basic scopes. The answer is accurate and complete at a basic level. To improve, the candidate could elaborate on the nuance that 'protected' allows access from subclasses even in different packages (which distinguishes it more clearly from package-private), mention applicable targets (class members, top-level classes), and discuss practical usage guidelines such as encapsulation principles.",Correctly identified all four access levels in Java; Accurately described the visibility scope for each modifier; Correctly noted that package-private has no keyword; Concise and well-structured answer,"Did not mention that protected also allows access from subclasses in different packages (the cross-package subclass access nuance); Did not mention the typical use cases or best practices for each modifier; Did not mention that access modifiers can be applied to classes, methods, and fields (and the restrictions on top-level class modifiers)",5951,2026-05-12T16:42:06.577480,
claude_sonnet_pure_run2,claude-sonnet-4-6,pure,7,OOP,What is the Open/Closed Principle?,"OCP states that classes should be open for extension but closed for modification. This means new behaviour is added by implementing an interface or through inheritance, not by changing existing code. A classic example is the Strategy pattern — instead of adding if-else branches to a class, we create a new implementation of an interface.",correct,correct,0.85,correct,True,"The candidate demonstrates a solid understanding of the Open/Closed Principle with a clear definition and a practical example using the Strategy pattern. The answer is technically correct and shows applied knowledge beyond just reciting a definition. To improve, the candidate could discuss how abstraction and polymorphism are the core mechanisms enabling OCP, mention the benefits such as reduced regression risk, and acknowledge trade-offs like increased complexity from over-abstraction. Overall, a good answer for a Junior Java Developer level.","Correctly states the core definition of OCP: open for extension, closed for modification; Understands the practical implication of avoiding modification of existing code; Provides a concrete and relevant example using the Strategy pattern; Mentions both interface implementation and inheritance as extension mechanisms","No mention of the SOLID acronym context or Bertrand Meyer / Robert Martin origins; Did not discuss abstraction layers as the key enabler of OCP; No mention of how OCP reduces regression risk and improves maintainability; Could have elaborated on polymorphism as the underlying mechanism; Did not mention potential downsides or trade-offs (e.g., over-abstraction)",6642,2026-05-12T16:42:13.520346,
claude_sonnet_pure_run2,claude-sonnet-4-6,pure,8,OOP,What is abstraction in object-oriented programming?,"Abstraction is about hiding implementation details and exposing only the interface. In Java it is achieved through abstract classes and interfaces. We focus on 'what' an object does rather than 'how' it does it — for example, Collections.sort() — I don't know how it sorts internally, but I know how to use it.",correct,correct,0.82,correct,True,"The candidate provides a solid foundational understanding of abstraction with a correct definition and appropriate Java mechanisms. The Collections.sort() example is a good practical illustration. However, the answer lacks depth — a stronger answer would differentiate between abstract classes (partial abstraction) and interfaces (full abstraction in older Java), explain abstract methods and their role in enforcing contracts, and perhaps discuss how abstraction differs from encapsulation. Overall, a competent answer for a junior level but could be more detailed.",Correctly defines abstraction as hiding implementation details and exposing only the interface; Correctly identifies both abstract classes and interfaces as Java mechanisms for abstraction; Good practical example with Collections.sort() illustrating the 'what vs how' distinction; Demonstrates understanding of the core principle: focusing on 'what' rather than 'how',"Did not mention the difference between abstract classes and interfaces in terms of abstraction (partial vs full abstraction); No mention of abstract methods and how they enforce abstraction contracts; Did not discuss access modifiers role in abstraction (encapsulation vs abstraction distinction); Could have mentioned real-world Java API examples like JDBC, where abstraction allows switching databases without changing code; No mention of how abstraction reduces complexity and increases reusability",7082,2026-05-12T16:42:20.902848,
claude_sonnet_pure_run2,claude-sonnet-4-6,pure,9,Core Java,"What is the difference between String, StringBuilder, and StringBuffer?","String is immutable — every change creates a new object. StringBuilder and StringBuffer are mutable, so they are faster when making multiple modifications. Both are used in a similar way.",partial,partial,0.55,partial,True,"The candidate demonstrates a basic understanding of mutability differences but misses the critical distinction between StringBuilder and StringBuffer, which is thread safety. StringBuffer is synchronized making it thread-safe but slower, while StringBuilder is not synchronized making it faster but not thread-safe. This is the key differentiator between the two mutable classes and is a commonly tested concept. The answer is too superficial for a complete evaluation of these classes.",Correctly identifies String as immutable; Correctly identifies StringBuilder and StringBuffer as mutable; Mentions performance advantage of mutable classes for multiple modifications,"Thread safety: StringBuffer is synchronized (thread-safe), StringBuilder is not synchronized (not thread-safe); Performance difference between StringBuilder and StringBuffer: StringBuilder is faster due to lack of synchronization; String pool and interning behavior of String literals; When to use each: StringBuilder preferred in single-threaded contexts, StringBuffer in multi-threaded contexts; String concatenation with + operator creates new String objects internally",5625,2026-05-12T16:42:26.829020,
claude_sonnet_pure_run2,claude-sonnet-4-6,pure,10,Core Java,What is the Stream API?,"The Stream API is used for processing collections. It allows filtering, sorting, and mapping elements. It has been available since Java 8.",partial,partial,0.3,partial,True,"The candidate has a very basic surface-level understanding of the Stream API. While the answer is not incorrect, it lacks almost all technical depth expected even for a junior developer. A good answer should explain the pipeline model (source → intermediate operations → terminal operation), the difference between intermediate and terminal operations, lazy evaluation, immutability of the source, and ideally mention parallel streams. The candidate should study the Stream API more thoroughly, including how operations are chained and how terminal operations trigger execution.","Correctly identifies that Stream API is used for processing collections; Mentions key operations: filtering, sorting, and mapping; Correctly states it was introduced in Java 8","No mention of lazy evaluation / lazy execution of intermediate operations; No distinction between intermediate operations (filter, map, sorted) and terminal operations (collect, forEach, reduce, count); No mention that streams do not modify the original data source; No mention of the pipeline concept; No mention of parallel streams and parallel processing capability; No mention of functional programming style / lambda expressions integration; No mention of common terminal operations like collect(), reduce(), forEach(); No mention that a stream can only be consumed once; No mention of Stream sources beyond collections (arrays, I/O channels, generator functions)",7268,2026-05-12T16:42:34.398701,
