experiment_id,model,mode,test_id,topic,question,candidate_answer,human_label,expected_bucket,llm_score,predicted_bucket,match,feedback,strengths,missed_concepts,latency_ms,timestamp,error
gemini_flash_rag_run2,gemini-2.5-flash,rag,1,Core Java,What is the difference between the == operator and the equals() method?,"The == operator compares references — it checks whether two objects point to the same memory location. The equals() method compares the values of objects. For primitive types like int or char, == compares values because primitives have no references.",correct,correct,0.65,correct,True,"The explanation for the `==` operator is accurate for both objects and primitive types. However, the answer regarding the `equals()` method is incomplete. It's crucial to mention that the default implementation of `equals()` (inherited from `Object`) also compares object references, just like `==`. The `equals()` method only performs value-based comparison when it has been explicitly overridden in a class.",Correctly identifies that the `==` operator compares references for objects.; Correctly identifies that the `==` operator compares values for primitive types.,"The default implementation of the `equals()` method (from the `Object` class) compares object references, similar to the `==` operator.; The `equals()` method must be overridden in a class to provide a custom, value-based comparison logic.",8151,2026-05-12T17:00:28.271073,
gemini_flash_rag_run2,gemini-2.5-flash,rag,2,Core Java,What is Optional and what problem does it solve?,"Optional is a container that may or may not hold a value. It was introduced in Java 8 to reduce NullPointerExceptions — instead of returning null from a method, we return an Optional and force the caller to explicitly handle the absence of a value using isPresent(), orElse(), or map().",correct,correct,0.8,correct,True,"The answer provides a solid understanding of Optional, its purpose, and how it addresses NullPointerExceptions. It correctly identifies its introduction in Java 8 and mentions key usage methods. To enhance the answer, consider explicitly stating that Optional holds non-null objects and provide a more comprehensive list of its useful methods, such as `get()`, `orElseGet()`, `orElseThrow()`, `flatMap()`, and `filter()`. Additionally, elaborating on benefits like improved code readability and robustness would add more depth.","Correctly defines Optional as a container that may or may not hold a value.; Accurately states its introduction in Java 8.; Correctly identifies the primary problem it solves (reducing NullPointerExceptions).; Clearly explains how it solves the problem by forcing explicit handling of absent values.; Mentions some common and important methods like isPresent(), orElse(), and map().","Explicitly stating that Optional is designed to contain *non-null* objects.; A more comprehensive list of methods (e.g., get(), orElseGet(), orElseThrow(), flatMap(), filter(), ifPresent(), isEmpty()).; Elaborating on additional benefits such as improved code readability, robustness, and encouraging a more functional programming style.",9840,2026-05-12T17:00:38.412006,
gemini_flash_rag_run2,gemini-2.5-flash,rag,3,Core Java,What does the synchronized keyword mean?,synchronized locks access to a method or code block so that only one thread can execute it at a time. This prevents race conditions — situations where two threads simultaneously modify the same variable and the result depends on the order of execution.,correct,correct,0.75,correct,True,"The candidate provides a good, concise explanation of `synchronized`'s primary function and the problem it solves. To improve, the answer should delve into the underlying mechanism (intrinsic locks), specify which object's lock is acquired based on context (instance method, static method, or code block), and mention the memory visibility guarantees it provides.",Correctly identifies the primary purpose of `synchronized` as ensuring mutual exclusion (only one thread executes at a time).; Accurately states that it prevents race conditions.; Provides a clear and correct definition of what a race condition is.,"The underlying mechanism of `synchronized` (intrinsic lock or monitor lock).; Which object's lock is acquired (e.g., `this` for instance methods, the Class object for static methods, or a specified object for synchronized blocks).; Memory visibility guarantees (happens-before relationship) provided by `synchronized`.",5994,2026-05-12T17:00:44.706767,
gemini_flash_rag_run2,gemini-2.5-flash,rag,4,Core Java,What is the Garbage Collector and how does it work?,The GC is a JVM mechanism that automatically frees heap memory occupied by objects that no longer have any live references. It runs in the background and is triggered by the JVM — the programmer does not need to manually deallocate memory as in C++.,correct,correct,0.4,partial,False,"The answer provides a good high-level definition of what the Garbage Collector is and its purpose, correctly identifying its automatic nature and the benefit over manual memory management. However, it completely lacks any technical details on *how* the Garbage Collector actually works. For a comprehensive answer, you should explain the underlying mechanisms, such as how live objects are identified (GC roots), the different phases involved (e.g., marking, sweeping, compacting), and ideally, the concept of generational garbage collection (young and old generations, minor/major GC cycles).",Correctly defines Garbage Collector as a JVM mechanism for automatic memory management.; Accurately states that it frees heap memory occupied by objects that no longer have live references.; Highlights the benefit of automatic memory management in Java compared to manual deallocation in languages like C++.,"Detailed explanation of how GC identifies 'live' objects (e.g., GC roots, reachability).; Specific GC algorithms or phases (e.g., Mark-and-Sweep, Copying, Mark-Compact, marking phase, sweeping phase, compacting phase).; The concept of generational garbage collection (Young Generation, Old Generation, Minor GC, Major GC).; Stop-the-world events.; Different memory pools within the heap (Eden, Survivor spaces, Tenured/Old space).",10890,2026-05-12T17:00:55.898259,
gemini_flash_rag_run2,gemini-2.5-flash,rag,5,Core Java,What is a functional interface?,A functional interface has exactly one abstract method. This allows it to be used as a target type for a lambda. We can annotate it with @FunctionalInterface so the compiler enforces this requirement. It may have any number of default and static methods.,correct,correct,1.0,correct,True,"The candidate provided a complete and accurate definition of a functional interface, covering its core characteristics, purpose, and related annotations. The answer is comprehensive and well-articulated.",Correctly defines a functional interface as having exactly one abstract method.; Accurately explains its purpose as a target type for lambda expressions.; Correctly identifies the role of the @FunctionalInterface annotation for compiler enforcement.; Correctly states that functional interfaces can have any number of default and static methods.,,3625,2026-05-12T17:00:59.824775,
gemini_flash_rag_run2,gemini-2.5-flash,rag,6,Core Java,What are the access modifiers in Java and how do they differ?,Java has four access modifiers: public — visible everywhere; protected — visible within the same package and in subclasses; package-private (no keyword) — visible only within the package; private — visible only within the same class.,correct,correct,0.9,correct,True,"The candidate provided a concise and accurate description of all four Java access modifiers, clearly outlining their respective visibility scopes and correctly identifying package-private as having no explicit keyword. The answer directly addresses how they differ. For a junior role, this is a very strong answer, though a slightly more comprehensive explanation might include where each modifier can be applied.",Correctly identifies all four access modifiers.; Accurately describes the visibility scope for each modifier.; Correctly notes that package-private has no explicit keyword.,"Could have mentioned where each modifier can be applied (e.g., classes, methods, fields, constructors).; Could have briefly discussed the hierarchy of restrictiveness among the modifiers.",6263,2026-05-12T17:01:06.388418,
gemini_flash_rag_run2,gemini-2.5-flash,rag,7,OOP,What is the Open/Closed Principle?,"OCP states that classes should be open for extension but closed for modification. This means new behaviour is added by implementing an interface or through inheritance, not by changing existing code. A classic example is the Strategy pattern — instead of adding if-else branches to a class, we create a new implementation of an interface.",correct,correct,0.95,correct,True,"Excellent definition of the Open/Closed Principle, clearly stating its core tenet. The explanation of how it's achieved through interfaces and inheritance is accurate, and the Strategy pattern is a perfect, well-explained example that demonstrates the principle effectively by showing how to add new behavior without altering existing code.",Accurately defines the Open/Closed Principle (OCP).; Identifies key mechanisms for achieving OCP (inheritance and interfaces).; Provides a relevant and well-explained design pattern example (Strategy pattern) to illustrate the principle.; Clearly explains the benefit of OCP (avoiding modification of existing code).,"Could implicitly mention polymorphism as the underlying mechanism that enables extension without modification, though the mention of interfaces and inheritance covers it.",5987,2026-05-12T17:01:12.676093,
gemini_flash_rag_run2,gemini-2.5-flash,rag,8,OOP,What is abstraction in object-oriented programming?,"Abstraction is about hiding implementation details and exposing only the interface. In Java it is achieved through abstract classes and interfaces. We focus on 'what' an object does rather than 'how' it does it — for example, Collections.sort() — I don't know how it sorts internally, but I know how to use it.",correct,correct,0.9,correct,True,"The candidate provides a very good answer, clearly defining abstraction, identifying its implementation in Java, and offering an excellent real-world example. The explanation of 'what' vs 'how' is particularly effective. To make the answer even more comprehensive, explicitly stating the benefits of abstraction would be a valuable addition.","Provides a clear and concise definition of abstraction.; Correctly identifies abstract classes and interfaces as mechanisms for achieving abstraction in Java.; Effectively uses the 'what' vs 'how' distinction to explain the concept.; Offers a strong, practical, and relatable example (Collections.sort()) that demonstrates understanding.","Could explicitly mention the benefits of abstraction, such as managing complexity, improving maintainability, or promoting reusability, rather than just implying them.",5313,2026-05-12T17:01:18.290430,
gemini_flash_rag_run2,gemini-2.5-flash,rag,9,Core Java,"What is the difference between String, StringBuilder, and StringBuffer?","String is immutable — every change creates a new object. StringBuilder and StringBuffer are mutable, so they are faster when making multiple modifications. Both are used in a similar way.",partial,partial,0.5,partial,True,"The candidate correctly identified the immutability of String and the mutability of StringBuilder/StringBuffer, along with the performance implications for multiple modifications. However, a critical omission is the difference in thread-safety between StringBuilder (not synchronized) and StringBuffer (synchronized), which is the main distinguishing factor between the two mutable classes. The answer also lacked detail on specific use cases for each in different threading contexts.",Correctly identified String as immutable and explained the consequence of new object creation on modification.; Correctly identified StringBuilder and StringBuffer as mutable.; Understood that mutability leads to better performance for multiple modifications.,"Thread-safety (the primary difference between StringBuilder and StringBuffer); Specific performance comparison between StringBuilder and StringBuffer (due to synchronization); Appropriate use cases for each class, especially in multi-threaded environments",5138,2026-05-12T17:01:23.729624,
gemini_flash_rag_run2,gemini-2.5-flash,rag,10,Core Java,What is the Stream API?,"The Stream API is used for processing collections. It allows filtering, sorting, and mapping elements. It has been available since Java 8.",partial,partial,0.35,partial,True,"The candidate provides a factually correct but very high-level and superficial answer. While it touches upon the basic purpose and some operations, it completely misses the core technical characteristics, benefits, and fundamental concepts of the Stream API, such as its functional nature, lazy evaluation, non-mutating behavior, and the distinction between intermediate and terminal operations. The answer lacks the depth expected for even a junior developer.","Correctly identifies the general purpose of the Stream API (processing collections).; Lists common operations like filtering, sorting, and mapping.; Correctly states that it was introduced in Java 8.","Functional programming paradigm / declarative style; Lazy evaluation; Pipelining of operations; Non-mutating nature of streams; One-time use characteristic of streams; Internal vs. external iteration; Differentiation between intermediate and terminal operations; Support for parallelism; Other potential sources for streams beyond collections (e.g., arrays, I/O channels, `Stream.of()`, `IntStream.range()`); The concept of a 'sequence of elements' rather than just 'collections'",7937,2026-05-12T17:01:31.967606,
