experiment_id,model,mode,test_id,topic,question,candidate_answer,human_label,expected_bucket,llm_score,predicted_bucket,match,feedback,strengths,missed_concepts,latency_ms,timestamp,error
claude_sonnet_rag_run2,claude-sonnet-4-6,rag,1,Core Java,What is the difference between the == operator and the equals() method?,"The == operator compares references — it checks whether two objects point to the same memory location. The equals() method compares the values of objects. For primitive types like int or char, == compares values because primitives have no references.",correct,correct,0.85,correct,True,"The candidate demonstrates a solid basic understanding of the difference between == and equals(). The explanation is accurate and covers the key distinction for both objects and primitives. However, the answer lacks depth — a stronger answer would mention that equals() in the Object class defaults to reference comparison (same as ==), and that classes like String override it to compare content. Mentioning the contract between equals() and hashCode() would further demonstrate deeper knowledge.",Correctly explains that == compares references (memory locations) for objects; Correctly explains that equals() compares values/content of objects; Correctly notes that == compares values for primitive types,"Did not mention that equals() is inherited from Object class and by default also compares references unless overridden; Did not provide examples of classes that override equals() such as String, Integer, etc.; Did not mention the importance of overriding equals() (and hashCode()) in custom classes; Did not give a concrete code example to illustrate the difference",6280,2026-05-12T16:37:06.723022,
claude_sonnet_rag_run2,claude-sonnet-4-6,rag,2,Core Java,What is Optional and what problem does it solve?,"Optional is a container that may or may not hold a value. It was introduced in Java 8 to reduce NullPointerExceptions — instead of returning null from a method, we return an Optional and force the caller to explicitly handle the absence of a value using isPresent(), orElse(), or map().",correct,correct,0.85,correct,True,"Strong answer that covers the core concept well. The candidate demonstrates a solid understanding of what Optional is, why it was introduced, and how it is used in practice with concrete method examples. To improve, the candidate could mention additional methods like orElseThrow() or ifPresent(), and note best practices such as avoiding Optional as method parameters or fields.","Correctly identifies Optional as a container that may or may not hold a value; Correctly states it was introduced in Java 8; Correctly identifies the main problem it solves: reducing NullPointerExceptions; Mentions the key use case of returning Optional instead of null; Lists concrete methods: isPresent(), orElse(), and map()","Could mention ifPresent() or orElseThrow() as additional useful methods; Could mention that Optional encourages a more functional programming style; Could clarify that Optional is not meant to replace all null checks, but primarily for return types",5505,2026-05-12T16:37:12.529636,
claude_sonnet_rag_run2,claude-sonnet-4-6,rag,3,Core Java,What does the synchronized keyword mean?,synchronized locks access to a method or code block so that only one thread can execute it at a time. This prevents race conditions — situations where two threads simultaneously modify the same variable and the result depends on the order of execution.,correct,correct,0.85,correct,True,"The candidate provides a solid, correct, and practical explanation of the synchronized keyword. The answer covers the core purpose well and correctly ties it to race conditions. However, for a more complete answer, the candidate could have mentioned the underlying monitor/intrinsic lock mechanism, memory visibility guarantees, and the distinction between synchronizing on instance vs. class level. Overall, a good foundational understanding is demonstrated.",Correctly explains that synchronized restricts access to one thread at a time; Accurately describes the concept of race conditions; Mentions both methods and code blocks as applicable targets; Explains the practical consequence of race conditions (result depends on execution order),No mention of the intrinsic lock/monitor object that synchronized uses internally; Did not mention that synchronized also ensures memory visibility (happens-before relationship); No mention of the difference between instance-level and class-level (static) synchronization; Did not mention potential performance implications or deadlock risks,6206,2026-05-12T16:37:19.036387,
claude_sonnet_rag_run2,claude-sonnet-4-6,rag,4,Core Java,What is the Garbage Collector and how does it work?,The GC is a JVM mechanism that automatically frees heap memory occupied by objects that no longer have any live references. It runs in the background and is triggered by the JVM — the programmer does not need to manually deallocate memory as in C++.,correct,correct,0.55,partial,False,"The candidate provides a basic, high-level definition of the Garbage Collector that is technically correct but lacks depth. For a Junior Java Developer position, it would be expected to at least mention generational GC concepts, the basic Mark-and-Sweep process, or Stop-the-World pauses. The answer demonstrates awareness of what GC does but not how it actually works internally, which was explicitly asked in the question.",Correctly identifies GC as a JVM mechanism for automatic memory management; Correctly states it frees heap memory for objects with no live references; Correctly contrasts with manual memory management in C++; Mentions it runs in the background,"No mention of generational garbage collection (Young/Old/Permanent generations); No explanation of GC phases (Mark, Sweep, Compact); No mention of specific GC algorithms (Serial, Parallel, G1, ZGC, Shenandoah); No mention of Stop-the-World pauses; No mention of how objects move between generations (Eden, Survivor spaces); No mention of Minor GC vs Major/Full GC; No mention of reachability analysis or GC roots",6159,2026-05-12T16:37:25.495932,
claude_sonnet_rag_run2,claude-sonnet-4-6,rag,5,Core Java,What is a functional interface?,A functional interface has exactly one abstract method. This allows it to be used as a target type for a lambda. We can annotate it with @FunctionalInterface so the compiler enforces this requirement. It may have any number of default and static methods.,correct,correct,1.0,correct,True,"The candidate provided a complete and accurate answer covering all key aspects of functional interfaces: the single abstract method requirement, lambda expression compatibility, the @FunctionalInterface annotation, and the allowance of default/static methods. The answer is concise and technically correct.",Correctly identified that a functional interface has exactly one abstract method; Mentioned lambda expressions as target types; Correctly noted the @FunctionalInterface annotation and its compiler enforcement role; Correctly stated that default and static methods are allowed in any number,,3624,2026-05-12T16:37:29.420574,
claude_sonnet_rag_run2,claude-sonnet-4-6,rag,6,Core Java,What are the access modifiers in Java and how do they differ?,Java has four access modifiers: public — visible everywhere; protected — visible within the same package and in subclasses; package-private (no keyword) — visible only within the package; private — visible only within the same class.,correct,correct,0.95,correct,True,"The candidate provided a solid and accurate answer covering all four access modifiers with correct visibility scopes. The answer demonstrates a good understanding of Java access control. Minor gaps include not mentioning that protected access also includes the class itself, and not discussing where modifiers can be applied. Overall, this is a strong answer for a Junior Java Developer position.",Correctly identified all four access modifiers in Java; Accurately described the visibility scope for each modifier; Mentioned the 'no keyword' (package-private) case which many candidates miss; Clear and concise explanation,"Could have mentioned that protected also allows access within the same class; No mention of where these modifiers can be applied (classes, methods, fields); Did not mention that top-level classes can only be public or package-private",5324,2026-05-12T16:37:35.045470,
claude_sonnet_rag_run2,claude-sonnet-4-6,rag,7,OOP,What is the Open/Closed Principle?,"OCP states that classes should be open for extension but closed for modification. This means new behaviour is added by implementing an interface or through inheritance, not by changing existing code. A classic example is the Strategy pattern — instead of adding if-else branches to a class, we create a new implementation of an interface.",correct,correct,0.95,correct,True,"Excellent answer. The candidate demonstrates a clear and accurate understanding of the Open/Closed Principle, including its definition, practical application, and a relevant design pattern example. The mention of the Strategy pattern as a classic OCP implementation shows solid knowledge beyond just the definition. Minor improvements could include explicitly tying it to SOLID and perhaps a brief code snippet, but overall this is a strong response for a Junior Java Developer position.","Correctly defines OCP as open for extension but closed for modification; Explains the practical implication of adding behavior through interfaces or inheritance; Provides a concrete and relevant example using the Strategy pattern; Mentions avoiding if-else branches as a violation of OCP, showing deeper understanding",Could have mentioned that OCP is part of the SOLID principles explicitly; Could have provided a brief code-level example to further illustrate the concept,5459,2026-05-12T16:37:40.805092,
claude_sonnet_rag_run2,claude-sonnet-4-6,rag,8,OOP,What is abstraction in object-oriented programming?,"Abstraction is about hiding implementation details and exposing only the interface. In Java it is achieved through abstract classes and interfaces. We focus on 'what' an object does rather than 'how' it does it — for example, Collections.sort() — I don't know how it sorts internally, but I know how to use it.",correct,correct,0.85,correct,True,"The candidate demonstrates a solid understanding of abstraction with a clear definition and a good practical example. The answer covers the core concept well. To improve, the candidate could elaborate on the distinction between abstract classes (partial abstraction) and interfaces (full abstraction), and mention how encapsulation relates to abstraction.","Correctly defines abstraction as hiding implementation details and exposing only the interface; Mentions both abstract classes and interfaces as Java mechanisms for abstraction; Clearly articulates the 'what vs how' distinction; Provides a practical, real-world example with Collections.sort()","Did not mention the difference between abstract classes and interfaces in terms of abstraction levels; Did not discuss partial vs full abstraction (abstract class can have concrete methods, interface is fully abstract by default); Could have mentioned access modifiers as another tool for abstraction",5056,2026-05-12T16:37:46.162177,
claude_sonnet_rag_run2,claude-sonnet-4-6,rag,9,Core Java,"What is the difference between String, StringBuilder, and StringBuffer?","String is immutable — every change creates a new object. StringBuilder and StringBuffer are mutable, so they are faster when making multiple modifications. Both are used in a similar way.",partial,partial,0.55,partial,True,"The candidate has a basic understanding of the immutability of String and the mutability of StringBuilder and StringBuffer, but missed the most critical distinguishing factor between StringBuilder and StringBuffer — thread safety. StringBuffer is synchronized (thread-safe) while StringBuilder is not, making StringBuilder faster in single-threaded contexts. This is typically the key point interviewers look for when asking this question. The answer needs more depth to be considered complete.",Correctly identified that String is immutable and creates new objects on modification; Correctly identified that StringBuilder and StringBuffer are mutable; Mentioned performance advantage of mutable classes for multiple modifications,"Did not mention that StringBuffer is thread-safe (synchronized) while StringBuilder is not; Did not mention that StringBuilder is faster than StringBuffer due to lack of synchronization; Did not mention use cases: StringBuilder for single-threaded, StringBuffer for multi-threaded environments; Did not mention that String is stored in the String pool; No mention of the performance implications of String concatenation in loops",5942,2026-05-12T16:37:52.404567,
claude_sonnet_rag_run2,claude-sonnet-4-6,rag,10,Core Java,What is the Stream API?,"The Stream API is used for processing collections. It allows filtering, sorting, and mapping elements. It has been available since Java 8.",partial,partial,0.35,partial,True,"The candidate provides a very basic, surface-level description of the Stream API. While the answer is not incorrect, it lacks technical depth expected even for a junior developer. Key concepts such as the difference between intermediate and terminal operations, lazy evaluation, the pipeline model, immutability of the source, and parallel stream support are all missing. The answer reads more like a one-liner definition than a demonstration of understanding.","Correctly identifies Stream API as used for processing collections; Mentions key operations: filtering, sorting, and mapping; Correctly states it was introduced in Java 8","No mention of lazy evaluation / lazy execution of intermediate operations; No distinction between intermediate operations (filter, map, sorted) and terminal operations (collect, forEach, reduce); No mention that streams do not modify the original data source; No mention of functional programming / declarative style; No mention of parallel streams and parallel processing capability; No mention that a stream can only be consumed once; No explanation of the pipeline concept (source -> intermediate ops -> terminal op)",5999,2026-05-12T16:37:58.704898,
